participant,EQ_score
1,29
2,21
3,42
4,20
5,9
6,29
7,24
8,19
9,39
10,26
11,18
12,16
13,16
14,50
15,22
16,17
17,17
18,17
19,52
20,18
21,38
22,14
23,29
24,25
25,26
26,22
27,25
28,55
29,12
30,27
31,16
32,22
33,26
34,27
35,25
36,16
37,18
38,28
39,20
40,22
41,19
42,10
43,40
44,45
45,21
46,23
47,12
48,10
49,10
50,23
51,22
52,16
53,25
54,24
55,30
56,35
57,4
58,15
59,26
60,19
61,51
62,31
63,49
64,48
65,60
66,63
67,57
68,45
69,41
70,62
71,53
72,52
73,41
74,37
75,35
76,58
77,51
78,39
79,31
80,56
81,49
82,77
83,48
84,48
85,34
86,22
87,37
88,46
89,58
90,54
91,15
92,58
93,59
94,30
95,59
96,51
97,55
98,34
99,43
100,44
101,69
102,41
103,42
104,65
105,37
106,53
107,59
108,54
109,43
110,54
111,68
112,53
113,27
114,24
115,47
116,5
117,29
118,37
119,43
120,38
