participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
90,2,9.2945,1,positive
90,2,2.1331,2,none
90,4,5.0307,3,none
90,1,5.2556,4,negative
90,2,2.5815,5,none
90,4,4.292,6,positive
90,2,2.7766,7,none
90,1,4.4372,8,negative
90,4,2.2797,9,none
90,4,8.5419,10,negative
90,2,4.3911,11,negative
90,4,3.0404,12,negative
90,1,2.5434,13,none
90,3,4.4156,14,negative
90,2,5.9652,15,negative
90,4,1.9768,16,none
90,4,4.3261,17,none
90,4,2.5895,18,negative
90,3,7.2272,19,positive
90,3,4.657,20,none
90,4,9.0253,21,negative
90,1,2.7957,22,positive
90,1,2.8294,23,none
90,2,4.5004,24,none
90,1,2.979,25,positive
90,1,3.2822,26,positive
90,4,3.7783,27,negative
90,4,8.7995,28,negative
90,4,4.8053,29,negative
90,4,2.7738,30,none
90,4,1.8772,31,none
90,4,3.7089,32,negative
90,4,2.317,33,none
90,4,5.8441,34,negative
90,3,6.2271,35,positive
90,1,4.4685,36,positive
90,3,3.9459,37,positive
90,1,3.2789,38,positive
90,3,6.7427,39,negative
90,2,5.3353,40,none
90,1,4.0172,41,positive
90,2,4.0998,42,positive
90,1,3.2315,43,positive
90,1,3.2088,44,positive
90,1,2.9545,45,none
90,4,8.3729,46,negative
90,4,2.6911,47,none
90,4,4.3034,48,negative
90,3,11.1015,49,negative
90,3,5.3789,50,negative
90,2,4.4387,51,none
90,1,5.1947,52,positive
90,2,2.4127,53,none
90,1,3.6325,54,positive
90,1,5.0635,55,positive
90,2,2.971,56,none
90,1,6.7038,57,positive
90,3,3.7044,58,positive
90,4,4.564,59,positive
90,1,3.8195,60,positive
