"","participant","EQ_score"
"1",1,29
"2",2,21
"3",3,42
"4",4,20
"5",5,9
"6",6,29
"7",7,24
"8",8,19
"9",9,39
"10",10,26
"11",11,18
"12",12,16
"13",13,16
"14",14,50
"15",15,22
"16",16,17
"17",17,17
"18",18,17
"19",19,52
"20",20,18
"21",21,38
"22",22,14
"23",23,29
"24",24,25
"25",25,26
"26",26,22
"27",27,25
"28",28,55
"29",29,12
"30",30,27
"31",31,16
"32",32,22
"33",33,26
"34",34,27
"35",35,25
"36",36,16
"37",37,18
"38",38,28
"39",39,20
"40",40,22
"41",41,19
"42",42,10
"43",43,40
"44",44,45
"45",45,21
"46",46,23
"47",47,12
"48",48,10
"49",49,10
"50",50,23
"51",51,22
"52",52,16
"53",53,25
"54",54,24
"55",55,30
"56",56,35
"57",57,4
"58",58,15
"59",59,26
"60",60,19
"61",61,51
"62",62,31
"63",63,49
"64",64,48
"65",65,60
"66",66,63
"67",67,57
"68",68,45
"69",69,41
"70",70,62
"71",71,53
"72",72,52
"73",73,41
"74",74,37
"75",75,35
"76",76,58
"77",77,51
"78",78,39
"79",79,31
"80",80,56
"81",81,49
"82",82,77
"83",83,48
"84",84,48
"85",85,34
"86",86,22
"87",87,37
"88",88,46
"89",89,58
"90",90,54
"91",91,15
"92",92,58
"93",93,59
"94",94,30
"95",95,59
"96",96,51
"97",97,55
"98",98,34
"99",99,43
"100",100,44
"101",101,69
"102",102,41
"103",103,42
"104",104,65
"105",105,37
"106",106,53
"107",107,59
"108",108,54
"109",109,43
"110",110,54
"111",111,68
"112",112,53
"113",113,27
"114",114,24
"115",115,47
"116",116,5
"117",117,29
"118",118,37
"119",119,43
"120",120,38
