participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
12,2.3246,2.8569,1.5485,2.4829,1.5623,1.307,space,1.5071,2,16,1
12,3.5987,3.3239,1.0708,1.5198,2.7985,2.0036,y,1.3475,1,9,1
12,8.9582,2.871,1.523,1.7235,1.596,1.0897,space,0.0345,1,21,1
12,3.3708,1.9613,1.0819,1.6563,1.3966,1.1216,n,0.8554,2,10,1
12,3.5225,3.339,1.0989,1.2137,1.3397,1.3426,space,1.8522,2,13,1
12,2.3414,5.4637,0.8677,1.0113,1.3323,1.2863,space,2.3459,3,17,1
12,1.8996,2.7974,2.5897,2.9357,1.3496,1.129,space,0.6675,3,23,1
12,2.0255,2.5815,0.893,1.2472,1.039,1.3985,n,0.5182,2,7,1
12,1.335,7.2001,0.8801,1.1622,2.7778,1.2384,n,0.9373,3,11,1
12,2.4819,2.9794,1.3421,1.3228,2.4613,1.859,y,2.9285,2,1,1
12,1.5925,4.1284,0.8781,0.842,1.4778,1.1334,space,0.5026,1,15,1
12,2.6498,2.0565,1.0439,1.0898,1.2784,1.2716,y,0.4674,1,3,1
12,1.6575,1.8846,0.7781,0.8158,1.2081,1.3535,y,0.4729,2,4,1
12,1.8352,2.2744,0.8609,1.4019,1.4526,1.3366,space,0.9751,1,24,1
12,1.8918,2.3981,1.2376,2.5611,0.9578,1.3099,n,2.7252,1,12,1
12,1.5361,2.1814,0.9604,1.4384,1.2121,1.0207,space,0.4154,1,18,1
12,2.1101,1.697,1.5064,1.0045,1.077,1.3698,space,0.2786,3,20,1
12,2.6459,1.788,1.2048,1.5991,1.6868,1.1866,y,1.035,3,5,1
12,1.7312,2.3473,0.938,1.5866,2.6175,1.3129,space,0.4479,2,22,1
12,2.1396,2.1914,1.2906,1.1406,1.5195,1.883,n,0.6573,3,8,1
12,2.499,5.0248,0.8991,1.2357,1.4881,1.8139,space,0.3665,3,14,1
12,5.9968,3.903,0.8609,1.141,1.5539,1.3986,y,1.4505,3,2,1
12,2.4875,1.4203,1.1172,1.169,1.1918,1.9188,y,1.0295,1,6,1
12,3.469,2.0766,0.8943,1.2285,1.4672,1.4433,space,0.9317,2,19,1
