"","...1","participant","RT1","RT2","RT3","RT4","RT5","RT6","Comp_Question_Resp","Comp_Question_RT","condition_number","item_number","experiment_number","Group_Status","RT1ms","RT2ms","RT3ms","RT4ms","RT5ms","RT6ms","comp_tidy","total_comp","total_perc"
"1",1,1,0.6962,0.8679,0.6013,1.0896,1.5976,1.0471,"y",2.1891,"Neutral",6,1,"ASC",696.2,867.9,601.3,1089.6,1597.6,1047.1,1,11,91.6666666666667
"2",2,1,1.6651,1.0169,0.5145,0.9368,0.7158,0.5996,"n",0.3284,"Negative",10,1,"ASC",1665.1,1016.9,514.5,936.8,715.8,599.6,1,11,91.6666666666667
"3",3,1,0.5794,0.8804,0.5538,0.6302,1.1535,0.9552,"space",0.1127,"Neutral",15,1,"ASC",579.4,880.4,553.8,630.2,1153.5,955.2,0,11,91.6666666666667
"4",4,1,1.1719,0.9976,0.54,0.6987,0.6341,0.4884,"space",0.0498,"Negative",19,1,"ASC",1171.9,997.6,540,698.7,634.1,488.4,0,11,91.6666666666667
"5",5,1,2.5619,0.9522,0.5302,1.2365,0.9791,0.9855,"y",0.4312,"Positive",2,1,"ASC",2561.9,952.2,530.2,1236.5,979.1,985.5,1,11,91.6666666666667
"6",6,1,0.9042,0.6809,0.5848,0.4982,0.4483,0.4978,"space",0.0339,"Neutral",21,1,"ASC",904.2,680.9,584.8,498.2,448.3,497.8,0,11,91.6666666666667
"7",7,1,0.5556,0.8867,0.4676,0.4805,0.5001,0.6556,"n",0.0872,"Negative",7,1,"ASC",555.6,886.7,467.6,480.5,500.1,655.6,1,11,91.6666666666667
"8",8,1,1.2254,1.8859,0.4831,0.4872,0.4757,0.53,"n",0.5018,"Neutral",12,1,"ASC",1225.4,1885.9,483.1,487.2,475.7,530,1,11,91.6666666666667
"9",9,1,0.596,2.8089,0.5047,0.6465,0.4662,0.6385,"space",0.1831,"Positive",23,1,"ASC",596,2808.9,504.7,646.5,466.2,638.5,0,11,91.6666666666667
"10",10,1,0.6038,0.9146,0.623,0.549,0.6229,0.5572,"n",0.2265,"Positive",8,1,"ASC",603.8,914.6,623,549,622.9,557.2,1,11,91.6666666666667
"11",11,1,0.7563,0.901,0.4886,0.4649,0.5144,0.7572,"space",0.4398,"Neutral",24,1,"ASC",756.3,901,488.6,464.9,514.4,757.2,0,11,91.6666666666667
"12",12,1,0.6483,2.033,0.5346,0.4426,0.6638,0.677,"y",0.367,"Negative",1,1,"ASC",648.3,2033,534.6,442.6,663.8,677,1,11,91.6666666666667
"13",13,1,0.5026,0.5807,0.5381,0.4921,0.8574,0.7741,"y",0.9157,"Negative",4,1,"ASC",502.6,580.7,538.1,492.1,857.4,774.1,1,11,91.6666666666667
"14",14,1,1.432,4.1507,0.5757,0.6494,0.4849,0.5375,"space",0.2872,"Neutral",18,1,"ASC",1432,4150.7,575.7,649.4,484.9,537.5,0,11,91.6666666666667
"15",15,1,4.0225,0.7439,0.5152,0.4523,0.5135,0.4298,"space",0.6206,"Positive",14,1,"ASC",4022.5,743.9,515.2,452.3,513.5,429.8,0,11,91.6666666666667
"16",16,1,0.7466,2.3861,1.0437,0.5373,0.4344,0.641,"space",0.1366,"Positive",17,1,"ASC",746.6,2386.1,1043.7,537.3,434.4,641,0,11,91.6666666666667
"17",17,1,1.3371,0.9067,0.4813,0.4346,0.5367,0.9982,"y",0.3319,"Neutral",3,1,"ASC",1337.1,906.7,481.3,434.6,536.7,998.2,1,11,91.6666666666667
"18",18,1,0.8191,0.6827,0.5024,0.4174,0.5311,0.5392,"space",0.7836,"Negative",22,1,"ASC",819.1,682.7,502.4,417.4,531.1,539.2,0,11,91.6666666666667
"19",19,1,0.3969,0.7867,0.4292,0.4911,0.501,0.4244,"n",0.6902,"Positive",11,1,"ASC",396.9,786.7,429.2,491.1,501,424.4,1,11,91.6666666666667
"20",20,1,0.5898,0.7176,0.4403,0.4462,0.4505,0.64,"y",0.0495,"Neutral",9,1,"ASC",589.8,717.6,440.3,446.2,450.5,640,0,11,91.6666666666667
"21",21,1,0.7491,3.1589,0.4977,0.4305,0.4743,0.8402,"space",0.8097,"Positive",20,1,"ASC",749.1,3158.9,497.7,430.5,474.3,840.2,0,11,91.6666666666667
"22",22,1,0.6035,1.4303,0.7804,3.6974,0.4667,0.4762,"space",0.2005,"Negative",16,1,"ASC",603.5,1430.3,780.4,3697.4,466.7,476.2,0,11,91.6666666666667
"23",23,1,2.6833,1.7247,0.5105,0.5379,0.8166,0.4097,"y",0.8408,"Positive",5,1,"ASC",2683.3,1724.7,510.5,537.9,816.6,409.7,1,11,91.6666666666667
"24",24,1,0.6167,0.717,0.4173,0.4043,0.567,0.5504,"space",0.1709,"Negative",13,1,"ASC",616.7,717,417.3,404.3,567,550.4,0,11,91.6666666666667
"25",25,2,2.5375,3.7728,2.1739,1.9219,2.4775,3.7909,"space",1.6557,"Negative",13,1,"ASC",2537.5,3772.8,2173.9,1921.9,2477.5,3790.9,0,9,75
"26",26,2,2.2592,3.2737,1.8701,2.2526,2.2967,2.2501,"space",1.7959,"Negative",22,1,"ASC",2259.2,3273.7,1870.1,2252.6,2296.7,2250.1,0,9,75
"27",27,2,6.0908,2.4997,2.095,2.7157,2.3726,2.0967,"space",0.5469,"Neutral",18,1,"ASC",6090.8,2499.7,2095,2715.7,2372.6,2096.7,0,9,75
"28",28,2,9.4427,3.0538,2.33,2.8141,2.8216,2.5583,"n",0.7001,"Positive",8,1,"ASC",9442.7,3053.8,2330,2814.1,2821.6,2558.3,1,9,75
"29",29,2,4.4307,3.3736,2.1409,2.2384,2.1478,2.2846,"space",0.7308,"Positive",20,1,"ASC",4430.7,3373.6,2140.9,2238.4,2147.8,2284.6,0,9,75
"30",30,2,2.0267,8.9718,2.3004,2.2224,1.821,2.0855,"space",0.3322,"Neutral",15,1,"ASC",2026.7,8971.8,2300.4,2222.4,1821,2085.5,0,9,75
"31",31,2,2.4167,2.2909,2.0775,2.1873,2.755,2.2198,"y",1.1222,"Positive",2,1,"ASC",2416.7,2290.9,2077.5,2187.3,2755,2219.8,1,9,75
"32",32,2,1.9461,2.3344,2.1403,1.7895,2.0913,2.2459,"y",0.891,"Neutral",9,1,"ASC",1946.1,2334.4,2140.3,1789.5,2091.3,2245.9,0,9,75
"33",33,2,1.5318,2.5604,2.2545,2.1552,2.0171,1.9558,"n",1.8104,"Positive",11,1,"ASC",1531.8,2560.4,2254.5,2155.2,2017.1,1955.8,1,9,75
"34",34,2,2.1727,2.7737,2.6807,5.2195,4.1499,1.643,"space",0.9701,"Positive",23,1,"ASC",2172.7,2773.7,2680.7,5219.5,4149.9,1643,0,9,75
"35",35,2,9.0521,3.4366,2.3021,2.8416,2.5456,2.3448,"space",0.1042,"Positive",14,1,"ASC",9052.1,3436.6,2302.1,2841.6,2545.6,2344.8,0,9,75
"36",36,2,3.2288,3.4178,4.0984,14.352,28.7523,2.4856,"n",2.589,"Positive",5,1,"ASC",3228.8,3417.8,4098.4,14352,28752.3,2485.6,0,9,75
"37",37,2,2.375,2.1414,1.8622,1.5864,1.6301,1.7146,"space",0.3867,"Positive",17,1,"ASC",2375,2141.4,1862.2,1586.4,1630.1,1714.6,0,9,75
"38",38,2,1.8392,1.9383,1.9087,1.8932,1.8583,1.9045,"n",0.8412,"Negative",7,1,"ASC",1839.2,1938.3,1908.7,1893.2,1858.3,1904.5,1,9,75
"39",39,2,15.0619,9.4552,2.0052,2.112,2.0183,1.9003,"y",0.7865,"Neutral",3,1,"ASC",15061.9,9455.2,2005.2,2112,2018.3,1900.3,1,9,75
"40",40,2,2.0423,3.1294,2.3924,2.1633,1.6822,1.7555,"y",4.5118,"Neutral",12,1,"ASC",2042.3,3129.4,2392.4,2163.3,1682.2,1755.5,0,9,75
"41",41,2,2.8183,2.5278,1.9987,2.1343,2.1735,1.8865,"n",0.5311,"Negative",10,1,"ASC",2818.3,2527.8,1998.7,2134.3,2173.5,1886.5,1,9,75
"42",42,2,2.5152,4.1167,1.9618,1.9292,1.9897,2.2334,"space",0.0413,"Neutral",24,1,"ASC",2515.2,4116.7,1961.8,1929.2,1989.7,2233.4,0,9,75
"43",43,2,2.6095,2.8358,2.2055,1.9574,2.1976,1.91,"space",0.1433,"Neutral",21,1,"ASC",2609.5,2835.8,2205.5,1957.4,2197.6,1910,0,9,75
"44",44,2,1.7073,1.952,1.9704,1.827,2.0151,1.9992,"space",0.5243,"Negative",19,1,"ASC",1707.3,1952,1970.4,1827,2015.1,1999.2,0,9,75
"45",45,2,3.6117,2.6541,2.3118,2.0642,2.3493,2.2309,"y",1.857,"Neutral",6,1,"ASC",3611.7,2654.1,2311.8,2064.2,2349.3,2230.9,1,9,75
"46",46,2,1.8905,2.5612,2.0008,1.8949,2.3212,2.3971,"y",0.8961,"Negative",4,1,"ASC",1890.5,2561.2,2000.8,1894.9,2321.2,2397.1,1,9,75
"47",47,2,1.8831,2.4015,2.0726,2.1444,1.7667,1.8106,"y",0.9806,"Negative",1,1,"ASC",1883.1,2401.5,2072.6,2144.4,1766.7,1810.6,1,9,75
"48",48,2,2.6375,2.7978,1.8183,497.747,1.3905,1.2164,"space",0.192,"Negative",16,1,"ASC",2637.5,2797.8,1818.3,497747,1390.5,1216.4,0,9,75
